"houseID","totalPrice","date"
"103101103082","730","2019-02-02 21:48:33"
"103101106028","2300","2019-02-02 21:51:15"
"103101111622","300","2019-01-01 17:10:05"
"103101120696","470","2019-02-02 21:48:05"
"103101123331","380","2019-02-02 21:55:36"
"103101129918","500","2019-02-02 21:59:54"
"103101132792","290","2019-02-02 21:48:55"
"103101132792","295","2019-01-01 17:07:54"
"103101134030","850","2019-02-02 22:00:35"
"103101137195","1300","2019-02-02 22:00:50"
"103101141401","395","2019-02-02 22:00:43"
"103101146521","315","2019-02-02 21:49:54"
"103101150391","760","2019-02-02 21:59:46"
"103101155204","150","2019-02-02 21:58:28"
"103101156196","730","2019-01-01 17:10:34"
"103101161068","758","2019-02-02 21:53:07"
"103101170236","145","2019-02-02 21:50:59"
"103101170236","150","2019-01-01 17:09:44"
"103101175572","278","2019-02-02 21:57:31"
"103101179650","159","2019-01-01 17:16:38"
"103101185970","190","2019-02-02 22:03:19"
"103101190967","1200","2019-01-01 17:10:43"
"103101195808","379","2019-02-02 22:01:51"
"103101196337","170","2019-02-02 21:50:55"
"103101198188","380","2019-02-02 21:48:37"
"103101201645","3000","2019-02-02 22:02:00"
"103101202818","350","2019-02-02 21:48:37"
"103101206925","225","2019-02-02 21:59:40"
"103101206954","517","2019-01-01 17:22:19"
"103101210375","80","2019-02-02 21:53:23"
"103101216840","170","2019-02-02 22:03:05"
"103101217947","415","2019-02-02 22:03:35"
"103101221114","430","2019-02-02 22:01:39"
"103101223765","470","2019-02-02 21:53:39"
"103101225967","400","2019-02-02 21:57:59"
"103101225967","405","2019-01-01 17:18:54"
"103101233505","1015","2019-02-02 21:53:43"
"103101233505","1017","2019-01-01 17:12:58"
"103101242859","255","2019-02-02 21:54:59"
"103101242859","265","2019-01-01 17:16:16"
"103101247786","140","2019-02-02 21:50:57"
"103101249187","500","2019-02-02 21:48:09"
"103101250639","250","2019-02-02 22:01:39"
"103101253733","560","2019-02-02 21:53:11"
"103101255519","499","2019-01-01 17:10:34"
"103101256882","330","2019-02-02 21:57:37"
"103101258054","810","2019-02-02 21:59:32"
"103101259185","740","2019-02-02 22:03:59"
"103101261175","450","2019-02-02 21:59:54"
"103101273683","440","2019-02-02 22:01:31"
"103101281223","833","2019-02-02 21:53:47"
